 AQRA,13.374,42.366,5.2,0.8,-63.2,1,-114.1,3.6,   GNSSA
 AQUI,13.35,42.368,11,0.7,-46.5,0.8,-71.1,2.8,   ASI
 ASCO,13.637,42.822,1.4,0.6,4.6,0.7,-0.4,2.5,   ITALPOS
 ATRA,14.007,42.551,6.4,0.5,2.3,0.7,2.6,2.3,   GNSSA
 BLRA,13.56,41.81,0.5,1.1,-1.3,1.3,-0.1,4.7,   GNSSA
 CATO,13.409,42.529,2.2,0.4,14,0.5,-0.7,1.9,   ISPRA
 CDRA,13.72,42.367,25.6,0.5,10.7,0.5,-0.8,1.9,   GNSSA
 CERT,12.982,41.949,-6.7,0.5,-5.5,0.6,-0.7,2,   RING
 FRRA,14.292,42.418,3.5,0.4,0.6,0.5,3,1.8,   GNSSA
 GRAM,13.871,42.976,2.1,0.4,-0.2,0.5,0.1,1.9,   ITALPOS
 GUAR,13.312,41.794,-0.7,0.8,-3.6,1,1,3.6,   RING
 INFN,13.516,42.421,56.8,1.2,60.5,1.5,17.2,1.8,   DPC
 INGP,13.316,42.382,5.3,0.6,-30.1,0.7,-24.4,2.4,   RING
 INGR,12.515,41.828,-2,0.5,-2.7,0.6,-1.9,2.2,   RING
 ITTE,13.679,42.65,8.8,0.9,10.5,1.1,1.4,3.7,   LABTOPO
 LNSS,13.04,42.603,0.9,0.3,-2.4,0.4,0.8,1.4,   RING
 M0SE,12.493,41.893,-2.1,0.6,-3,0.8,0.1,2.7,   ASI
 MORO,12.619,42.053,-5.3,0.4,-3.4,0.5,-0.5,1.6,   ITALPOS
 MTRA,13.24,42.528,3.6,0.4,-1.9,0.5,-1.5,1.9,   GNSSA
 OCRA,13.039,42.05,-8.6,0.8,-7.3,1,2.2,3.6,   GNSSA
 OTRA,13.646,41.955,-1,0.7,0.8,0.8,0.6,2.7,   GNSSA
 OVRA,13.515,42.138,-6.5,0.8,4,0.9,-4.1,3.4,   GNSSA
 PAGA,13.466,42.362,-11.3,0.7,-17.4,0.9,-89.9,3.1,   PRIV
 PSAN,14.139,42.519,5,0.6,1,0.7,0.9,2.4,   ITALPOS
 RAIA,13.811,42.102,-0.7,0.6,-0.5,0.7,0.6,2.5,   PRIV
 RENO,13.093,42.793,0.6,0.4,-0.5,0.4,-4.2,1.6,   LABTOPO
 RIET,12.857,42.408,-4.5,0.4,-3,0.5,0.9,1.6,   LABTOPO
 ROMA,12.422,41.905,-1.9,0.5,-2.5,0.6,3.7,2.3,   ITALPOS
 RSTO,14.001,42.658,4.5,0.6,4,0.7,-0.7,2.4,   RING
 SCRA,14.002,42.268,5.6,0.4,-0.8,0.5,1.3,1.9,   GNSSA
 SMRA,13.924,42.048,0.8,0.4,0.3,0.5,-7.3,1.7,   GNSSA
 TERA,13.698,42.657,8.8,0.5,10.2,0.6,2.1,2.1,   ITALPOS
 TERM,13.208,42.445,-1.3,0.4,-8.2,0.4,-0.8,1.6,   ISPRA
 TOSS,13.646,42.547,19.5,0.5,20.5,0.7,1.4,2.3,   DPC
 UNTR,12.674,42.559,-0.4,0.4,-0.7,0.4,1.3,1.5,   LABTOPO
 VCRA,13.498,42.735,2.3,0.5,6.4,0.6,-2.1,2.3,   GNSSA
 VITE,12.119,42.418,-1.8,0.5,-1.6,0.6,-0.8,2.1,   ITALPOS
